Latitud;Longitud
8.5727;-83.3119
8.6634;-83.4478
8.5275;-83.3121
8.5275;-83.3121
8.3918;-83.2671
8.5728;-83.3573
8.3918;-83.2671
8.5728;-83.3573
8.5276;-83.3574
8.5265;-83.0397
9.116;-83.7194
9.2067;-83.8557
9.2519;-83.8556
9.2519;-83.8556
9.2518;-83.8101
9.1159;-83.6739
9.2065;-83.7647
9.1159;-83.6739
9.1613;-83.7648
9.2066;-83.8102
9.1612;-83.7193
9.2065;-83.7647
9.1612;-83.7193
9.2066;-83.8102
9.1159;-83.6285
9.1613;-83.7648
9.0708;-83.674
8.889;-83.3109
8.8893;-83.4018
8.9798;-83.4469
8.8888;-83.2654
8.9798;-83.4469
8.9798;-83.4469
8.9342;-83.3107
8.934;-83.2653
8.9348;-83.538
8.9347;-83.4925
8.9347;-83.4925
8.9347;-83.4925
8.9347;-83.4925
8.9347;-83.4925
8.9347;-83.4925
8.9347;-83.4925
8.9347;-83.4925
8.8891;-83.3563
8.9345;-83.4016
8.9346;-83.4471
8.9798;-83.4469
8.9346;-83.4471
8.9343;-83.3562
8.8895;-83.4926
8.8891;-83.3563
8.8891;-83.3563
8.9345;-83.4016
8.8891;-83.3563
8.9343;-83.3562
8.9342;-83.3107
8.9346;-83.4471
8.9347;-83.4925
8.9345;-83.4016
8.9345;-83.4016
8.7985;-83.2657
8.7988;-83.3566
8.8437;-83.2656
8.7985;-83.2657
8.8438;-83.311
8.8438;-83.311
8.7531;-83.2205
8.7529;-83.1751
8.7985;-83.2657
8.7983;-83.2203
8.8438;-83.311
8.7986;-83.3112
8.8438;-83.311
8.8888;-83.2654
8.8438;-83.311
8.8438;-83.311
8.8891;-83.3563
9.0252;-83.5377
8.9803;-83.6288
8.9351;-83.6289
9.0252;-83.5377
9.0252;-83.5377
9.0251;-83.4923
9.0255;-83.6287
8.9348;-83.538
8.9799;-83.4924
8.98;-83.5379
8.9347;-83.4925
8.98;-83.5379
9.0707;-83.6286
8.98;-83.5379
8.98;-83.5379
9.0707;-83.6286
9.0707;-83.6286
9.0253;-83.5832
9.0253;-83.5832
8.9802;-83.5833
9.0252;-83.5377
9.0253;-83.5832
9.0708;-83.674
9.0705;-83.5831
8.8443;-83.4928
8.7086;-83.4477
8.7537;-83.4022
8.7537;-83.4022
8.8442;-83.4473
8.7543;-83.6293
8.8896;-83.5381
8.7088;-83.4931
8.8445;-83.5382
8.6636;-83.4933
8.7091;-83.6294
8.8893;-83.4018
8.7088;-83.4931
8.8895;-83.4926
8.7088;-83.4931
8.7542;-83.5839
8.7086;-83.4477
8.7537;-83.4022
8.8894;-83.4472
8.7537;-83.4022
8.7989;-83.402
8.7086;-83.4477
8.7536;-83.3567
8.7993;-83.5383
8.7994;-83.5837
8.7089;-83.5385
8.7088;-83.4931
8.7993;-83.5383
8.8894;-83.4472
8.7991;-83.4929
8.6189;-83.7204
8.8442;-83.4473
8.8443;-83.4928
8.7988;-83.3566
9.2969;-83.7646
9.2517;-83.7646
9.2517;-83.7646
9.2971;-83.8556
9.2518;-83.8101
9.2971;-83.8556
9.297;-83.8101
9.297;-83.8101
9.3875;-83.8554
9.297;-83.8101
9.2517;-83.7646
9.3422;-83.81
9.2518;-83.8101
9.3422;-83.81
9.297;-83.8101
9.3422;-83.81
9.3422;-83.81
9.2518;-83.8101
9.4328;-83.9009
9.2518;-83.8101
9.2969;-83.7646
9.3422;-83.81
9.2969;-83.7646
9.2965;-83.5826
9.3416;-83.5369
9.3868;-83.5368
9.2513;-83.5827
9.3419;-83.628
9.2965;-83.5826
9.387;-83.5823
9.2965;-83.5826
9.2967;-83.6281
9.2965;-83.5826
9.3419;-83.628
9.3418;-83.5824
9.3418;-83.5824
9.3418;-83.5824
9.2965;-83.5826
9.3418;-83.5824
9.3418;-83.5824
9.342;-83.6735
9.2515;-83.6282
9.342;-83.6735
9.342;-83.6735
9.2515;-83.6282
9.342;-83.6735
9.342;-83.6735
9.2515;-83.6737
9.2967;-83.6281
9.2967;-83.6281
9.2968;-83.6736
9.2968;-83.6736
9.2515;-83.6282
9.2515;-83.6737
9.2515;-83.6737
9.342;-83.6735
9.342;-83.6735
9.3872;-83.6734
9.342;-83.6735
9.3872;-83.6734
9.342;-83.6735
9.3872;-83.6734
9.3871;-83.6279
9.3872;-83.6734
9.2967;-83.6281
9.3871;-83.6279
9.3871;-83.6279
9.3419;-83.628
9.3871;-83.6279
9.4778;-83.8098
9.4325;-83.7643
9.4325;-83.7188
9.5229;-83.7186
9.4776;-83.6732
9.4777;-83.7187
9.4325;-83.7188
9.4776;-83.6732
9.3872;-83.7189
9.4325;-83.7188
9.4325;-83.7188
9.4777;-83.7642
9.4777;-83.7642
9.5681;-83.7185
9.4325;-83.7188
9.1609;-83.5829
9.1156;-83.5375
9.0704;-83.5376
9.1609;-83.5829
9.1609;-83.5829
9.1157;-83.583
9.1156;-83.5375
9.1607;-83.4919
9.1155;-83.492
9.1609;-83.5829
9.1608;-83.5374
9.1156;-83.5375
9.1155;-83.492
9.2061;-83.5828
9.2061;-83.5828
9.1608;-83.5374
9.1609;-83.5829
9.1609;-83.5829
9.206;-83.5373
9.2061;-83.5828
9.1609;-83.5829
9.1155;-83.492
9.1609;-83.5829
9.2061;-83.5828
9.206;-83.5373
9.1156;-83.5375
9.2061;-83.5828
9.1611;-83.6284
9.1157;-83.583
9.1156;-83.5375
9.1156;-83.5375
9.2063;-83.6737
9.1611;-83.6738
9.2063;-83.6283
9.2063;-83.6283
9.2515;-83.6737
9.1611;-83.6284
9.1611;-83.6284
9.2063;-83.6283
9.2063;-83.6283
9.2063;-83.6283
9.2063;-83.6737
9.2515;-83.6282
9.2513;-83.5827
9.2063;-83.6283
9.2063;-83.6283
9.2063;-83.6283
9.2063;-83.6737
9.1611;-83.6738
9.2063;-83.6737
9.4328;-83.9464
9.3873;-83.7644
9.4326;-83.8098
9.4327;-83.8554
9.4327;-83.8554
9.4325;-83.7643
9.4326;-83.8098
9.3874;-83.8099
9.3873;-83.7644
9.4327;-83.8554
9.4328;-83.9464
9.5228;-83.6731
9.5228;-83.6731
9.4774;-83.5821
9.4776;-83.6732
9.4776;-83.6732
9.4323;-83.6278
9.4323;-83.6278
9.4774;-83.5821
9.4774;-83.5821
9.4323;-83.6278
9.4775;-83.6277
9.4323;-83.6278
9.4776;-83.6732
9.5228;-83.6731
9.5227;-83.6275
9.5228;-83.6731
9.4324;-83.6733
9.5227;-83.6275
9.4324;-83.6733
9.4774;-83.5821
9.4323;-83.6278
9.4776;-83.6732
9.4324;-83.6733
9.4323;-83.6278
9.2516;-83.7191
9.3421;-83.7645
9.2969;-83.7646
9.2968;-83.6736
9.2968;-83.7191
9.2968;-83.7191
9.2515;-83.6737
9.3872;-83.7189
9.2969;-83.7646
9.3872;-83.6734
9.2516;-83.7191
9.2968;-83.6736
9.3872;-83.6734
9.342;-83.6735
9.2968;-83.7191
9.3421;-83.7645
9.2968;-83.7191
9.342;-83.719
9.3872;-83.6734
9.4324;-83.6733
9.2516;-83.7191
9.342;-83.719
9.4324;-83.6733
9.3872;-83.7189
9.2516;-83.7191
9.2968;-83.7191
9.2968;-83.7191
9.342;-83.719
9.342;-83.6735
9.3872;-83.7189
9.3872;-83.7189
9.4325;-83.7188
9.3873;-83.7644
9.342;-83.719
9.2515;-83.6737
9.3872;-83.7189
9.2968;-83.7191
9.2516;-83.7191
9.342;-83.719
9.3872;-83.7189
9.3872;-83.7189
9.3872;-83.7189
9.2515;-83.6737
9.2968;-83.7191
9.3872;-83.7189
9.3872;-83.7189
9.3415;-83.4914
9.2964;-83.5371
9.2512;-83.5372
9.2964;-83.5371
9.2964;-83.5371
9.3418;-83.5824
9.2963;-83.4916
9.2963;-83.4916
9.2964;-83.5371
9.2964;-83.5371
9.2513;-83.5827
9.2964;-83.5371
9.2964;-83.5371
9.2512;-83.5372
9.3415;-83.4914
9.885;-84.0826
9.885;-84.0826
9.885;-84.1282
9.885;-84.1282
9.9302;-84.1282
9.885;-84.1282
9.885;-84.1282
9.885;-84.0826
9.9298;-83.7634
9.9298;-83.7634
9.9298;-83.7634
9.9298;-83.7634
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8091
9.8847;-83.8091
9.9299;-83.809
9.9299;-83.809
9.9299;-83.809
9.9299;-83.809
9.9299;-83.809
9.9299;-83.809
9.9299;-83.809
9.9751;-83.8089
9.9299;-83.809
9.9299;-83.809
9.9299;-83.809
9.8847;-83.8091
9.9752;-83.8545
9.9299;-83.809
9.9299;-83.809
9.9751;-83.8089
9.8396;-83.9003
9.7944;-83.9004
9.8397;-83.9459
9.8396;-83.9003
9.8396;-83.9003
9.7944;-83.9004
9.7944;-83.9004
9.8397;-83.9459
9.8396;-83.9003
9.8848;-83.9003
9.8848;-83.9003
9.8848;-83.9003
9.7946;-84.0371
9.7946;-84.0827
9.7946;-84.0827
9.7946;-84.0827
9.8398;-84.0371
9.7946;-84.0371
9.7946;-84.0827
9.7493;-84.0371
9.7494;-84.0827
9.7946;-84.0371
9.7946;-84.0827
9.7946;-84.0827
9.7946;-84.0371
9.7946;-84.0371
9.7946;-84.0827
9.7946;-84.0827
9.7493;-84.0371
9.7946;-84.0371
9.8396;-83.9003
9.8396;-83.9003
9.8396;-83.9003
9.8396;-83.9003
9.7944;-83.9004
9.7944;-83.9004
9.8395;-83.8547
9.8397;-83.9459
9.8849;-83.9458
9.9301;-83.9458
9.9301;-83.9458
9.93;-83.9002
9.8848;-83.9003
9.93;-83.9002
9.93;-83.9002
9.9301;-83.9458
9.93;-83.9002
9.93;-83.9002
9.93;-83.9002
9.8849;-83.9458
9.8848;-83.9003
9.8848;-83.9003
9.8397;-83.9915
9.8398;-84.0371
9.8397;-83.9915
9.8849;-83.9914
9.8397;-83.9915
9.8397;-83.9915
9.8397;-83.9915
9.8849;-83.9458
9.8849;-83.9458
9.9301;-83.9458
9.8849;-83.9458
9.8849;-83.9458
9.9301;-83.9458
9.8849;-83.9458
9.9301;-83.9458
9.8849;-83.9458
9.8849;-83.9458
9.8848;-83.9003
9.8848;-83.9003
9.93;-83.9002
9.93;-83.9002
9.93;-83.9002
9.93;-83.9002
9.9752;-83.9001
9.8848;-83.9003
9.93;-83.9002
9.93;-83.9002
9.9302;-84.037
9.9302;-84.037
9.9302;-84.037
9.9302;-84.037
9.9301;-83.9914
9.9301;-83.9914
9.9302;-84.037
9.885;-84.037
9.885;-84.037
9.885;-84.0826
9.885;-84.0826
9.885;-84.0826
9.7493;-84.0371
9.7494;-84.0827
9.7493;-84.0371
9.7493;-84.0371
9.885;-84.0826
9.885;-84.037
9.885;-84.037
9.885;-84.037
9.7946;-84.0827
9.7946;-84.0827
9.7946;-84.0827
9.7946;-84.0827
9.8398;-84.0826
9.7946;-84.0827
9.8398;-84.0826
9.7946;-84.0827
9.7494;-84.0827
9.885;-84.037
9.885;-84.037
9.7492;-83.946
9.704;-83.9461
9.7493;-83.9916
9.7493;-83.9916
9.7493;-83.9916
9.7493;-84.0371
9.7493;-83.9916
9.885;-84.0826
9.7946;-84.0371
9.8398;-84.0371
9.885;-84.0826
9.8398;-84.0371
9.8398;-84.0371
9.8398;-84.0826
9.8398;-84.0826
9.885;-84.037
9.7946;-84.0371
9.8398;-84.0371
9.885;-84.0826
9.8398;-84.0826
9.885;-84.0826
9.885;-84.0826
9.885;-84.0826
9.6588;-83.9006
9.6588;-83.9006
9.6136;-83.9006
9.6588;-83.9461
9.6134;-83.764
9.6587;-83.855
9.6134;-83.8095
9.6136;-83.9006
9.5683;-83.8552
9.6134;-83.8095
9.6587;-83.855
9.6136;-83.9006
9.6588;-83.9006
9.704;-83.9461
9.7041;-83.9916
9.6136;-83.9462
9.6137;-83.9917
9.6589;-83.9917
9.6136;-83.9462
9.5685;-83.9918
9.6136;-83.9462
9.6589;-83.9917
9.6589;-83.9917
9.6589;-83.9917
9.7946;-84.0371
9.7946;-84.0371
9.7945;-83.9915
9.7945;-83.9915
9.704;-83.9005
9.8397;-83.9459
9.7945;-83.946
9.704;-83.9005
9.7945;-83.946
9.7945;-83.9915
9.7945;-83.946
9.6135;-83.8551
9.8397;-83.9459
9.704;-83.9005
9.6135;-83.8551
9.7945;-83.946
9.8397;-83.9459
9.8397;-83.9459
9.704;-83.9461
9.7945;-83.946
9.704;-83.9005
9.7945;-83.9915
9.8397;-83.9915
9.7945;-83.946
9.704;-83.9005
9.8397;-83.9459
9.7492;-83.946
9.8397;-83.9459
9.704;-83.9005
9.7492;-83.946
9.6587;-83.855
9.7492;-83.946
9.7493;-83.9916
9.8397;-83.9459
9.8397;-83.9459
9.8397;-83.9459
9.8397;-83.9459
9.8397;-83.9459
9.8397;-83.9915
9.8397;-83.9915
9.8398;-84.0371
9.8397;-83.9459
9.8397;-83.9915
9.8397;-83.9915
9.9302;-84.1282
9.9302;-84.1282
9.9303;-84.1738
9.8851;-84.1738
9.9302;-84.1282
9.885;-84.1282
9.885;-84.1282
9.885;-84.1282
9.885;-84.1282
